,artist,song,artist_followers,release_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
6757,LL Cool J,Fast Peg,22,2016-03-31,0.00471,0.558,181435,0.754,0.000517,2,0.557,-7.705,1,0.0976,96.704,4,0.505,0
6758,'n Sync,How Deep Is Your Love,8382653,2015-07-17,0.0389,0.738,212640,0.868,0.00171,11,0.388,-4.373,0,0.0731,122.003,4,0.336,76
6759,Culture Club,Love Hurts,178820,1975-01-01,0.00482,0.477,233133,0.347,0.00409,7,0.34,-11.847,1,0.0248,80.097,4,0.139,54
6760,Kelly Clarkson,Tightrope,732346,2012-06-15,8.39e-05,0.467,209187,0.794,0.00204,1,0.103,-6.174,0,0.0349,162.435,4,0.589,58
6761,Elton John,I Think I'm Going To Kill Myself,1177649,1972-05-19,0.524,0.642,215173,0.537,3.66e-06,0,0.104,-8.239,1,0.028,137.618,4,0.71,32
6762,Christy Moore,Aisling,1668,2004,0.972,0.322,196667,0.103,0.918,2,0.121,-21.003,1,0.0354,90.34,3,0.0702,21
6763,George Harrison,Maya Love,85750,2009,0.0399,0.775,185120,0.726,0.0235,9,0.11,-5.629,1,0.0369,126.999,4,0.206,54
6764,Religious Music,God Bless America,5495915,2017-07-21,0.412,0.491,276437,0.702,0.18,9,0.135,-6.67,1,0.0606,87.977,4,0.268,59
6765,Marianne Faithfull,Cockleshells,39822,1966,0.822,0.552,195653,0.122,0.00699,2,0.116,-15.696,1,0.0373,87.648,4,0.261,4
6766,Cyndi Lauper,Searching,142318,2006-10-10,9.11e-06,0.331,187547,0.976,0.000117,2,0.319,-3.242,1,0.113,170.059,4,0.426,56
6767,Robbie Williams,One,1755741,2017-05-05,0.57,0.629,250173,0.572,0.0,5,0.192,-7.733,0,0.0387,100.015,4,0.386,90
6768,Bonnie Raitt,Love On One Condition,154503,2005-09-13,0.665,0.608,221000,0.653,0.000872,7,0.142,-5.061,0,0.0282,82.373,4,0.719,15
